tempo[s],velocidade[m/s]
5.04999999999999,1.0309198988925612
5.09999999999999,1.0311013398251074
5.14999999999999,1.0255798640651146
5.1999999999999895,1.0183302076619973
5.249999999999989,1.0140460866159882
5.299999999999989,1.0086497624861341
5.349999999999989,1.0025329304773318
5.399999999999989,0.9973728906568928
5.449999999999989,0.9918444892901017
5.4999999999999885,0.9861525342414651
5.549999999999988,0.9807131286977562
5.599999999999988,0.9751664111982183
5.649999999999988,0.9698682020997993
5.699999999999988,0.9644604660139015
5.749999999999988,0.9587162033275407
5.799999999999987,0.953224753936583
5.849999999999987,0.9478181339070071
5.899999999999987,0.9423387214621933
5.949999999999987,0.9370022207339824
5.999999999999987,0.9314721237332974
6.0499999999999865,0.9259696197647358
6.099999999999986,0.9205063337374402
6.149999999999986,0.9149335962389777
6.199999999999986,0.9094971281695171
6.249999999999986,0.9043166901258173
6.299999999999986,0.8987559422840402
6.349999999999985,0.8930950592923315
6.399999999999985,0.8876451117608697
6.449999999999985,0.8821478676130694
6.499999999999985,0.8766121997247212
6.549999999999985,0.8713644913501346
6.5999999999999845,0.8659877940649221
6.649999999999984,0.8603352088329455
6.699999999999984,0.8549511576733682
6.749999999999984,0.8496422135740495
6.799999999999984,0.8439309990670925
6.849999999999984,0.8384360393917903
6.8999999999999835,0.8331711960618956
6.949999999999983,0.8277224793280744
6.999999999999983,0.822266530315813
7.049999999999983,0.8167676875974184
7.099999999999983,0.8112226139794974
7.149999999999983,0.8056816388984535
7.199999999999982,0.8003786927599648
7.249999999999982,0.7951065478097514
7.299999999999982,0.7894655453644543
7.349999999999982,0.7839691242260158
7.399999999999982,0.7786798949009825
7.4499999999999815,0.7731316508724182
7.499999999999981,0.7676529387235695
7.549999999999981,0.7621131278760342
7.599999999999981,0.7568333430424574
7.649999999999981,0.7515474303651013
7.699999999999981,0.7457939782987075
7.7499999999999805,0.7406309738574003
7.79999999999998,0.7352305050850583
7.84999999999998,0.729520081751382
7.89999999999998,0.7242918744388671
7.94999999999998,0.7188708794437118
7.99999999999998,0.7133294997922428
8.04999999999998,0.7078936387163308
8.09999999999998,0.702433815826137
8.14999999999998,0.6971414927495992
8.199999999999982,0.691658234044039
8.249999999999982,0.6860684927733358
8.299999999999983,0.680762192373387
8.349999999999984,0.6753265831067234
8.399999999999984,0.6697824638124011
8.449999999999985,0.6643760833164176
8.499999999999986,0.6591816291960726
8.549999999999986,0.6534825842404789
8.599999999999987,0.6482580405870761
8.649999999999988,0.6428283259646329
8.699999999999989,0.6372940208597757
8.74999999999999,0.6316466955396749
8.79999999999999,0.6264221948484678
8.84999999999999,0.6213752583284133
8.899999999999991,0.6156572582027415
8.949999999999992,0.610103905009465
8.999999999999993,0.604860271690299
9.049999999999994,0.5994389319693357
9.099999999999994,0.5938627797066811
9.149999999999995,0.5886454704331148
9.199999999999996,0.5831588356564661
9.249999999999996,0.5776349352717475
9.299999999999997,0.5723961247762241
9.349999999999998,0.5670067502072705
9.399999999999999,0.5614444036356991
9.45,0.5560532190527034
9.5,0.5508171884841462
9.55,0.5453138211923361
9.600000000000001,0.5397956085737885
9.650000000000002,0.5345591010327078
9.700000000000003,0.5292455033908663
9.750000000000004,0.5236763362992269
9.800000000000004,0.5182043350151629
9.850000000000005,0.5129215703822714
9.900000000000006,0.5074080628298671
9.950000000000006,0.5022121383878173
10.000000000000007,0.4967668685762805
10.050000000000008,0.49124306152038355
10.100000000000009,0.48594409631748925
10.15000000000001,0.48060502457347226
10.20000000000001,0.4751432552644683
10.25000000000001,0.46984210124036996
10.300000000000011,0.4645373195038913
10.350000000000012,0.4590633596618928
10.400000000000013,0.4536344928636149
10.450000000000014,0.44825787090998537
10.500000000000014,0.4428294023639003
10.550000000000015,0.43756304748740577
10.600000000000016,0.4320899548954338
10.650000000000016,0.426744389321177
10.700000000000017,0.42145641310026827
10.750000000000018,0.4160346447614661
10.800000000000018,0.4106789064932671
10.85000000000002,0.4053328085028778
10.90000000000002,0.39998569445632826
10.95000000000002,0.3944625634786136
11.000000000000021,0.3892465436108269
11.050000000000022,0.38402106939637237
11.100000000000023,0.378485865641373
11.150000000000023,0.3731071433151686
11.200000000000024,0.36787799317423275
11.250000000000025,0.36245416253105445
11.300000000000026,0.3571398111513397
11.350000000000026,0.35181628397042697
11.400000000000027,0.34638954159137236
11.450000000000028,0.34105148711526356
11.500000000000028,0.3358331530643367
11.55000000000003,0.3304177263354705
11.60000000000003,0.3250333546650047
11.65000000000003,0.3197459737347842
11.700000000000031,0.3144383296572263
11.750000000000032,0.30913927386560125
11.800000000000033,0.30380078432597524
11.850000000000033,0.29829801392954736
11.900000000000034,0.29318065090706
11.950000000000035,0.28796744138559155
12.000000000000036,0.28252058044425155
12.050000000000036,0.277278341310214
12.100000000000037,0.27185259073629253
12.150000000000038,0.2664709359523131
12.200000000000038,0.26169864962127604
12.250000000000039,0.25642663639258534
12.30000000000004,0.25057452396442764
12.35000000000004,0.24558598997742648
12.400000000000041,0.24052536384589693
12.450000000000042,0.23511939615295874
12.500000000000043,0.22994826724100717
12.550000000000043,0.22475590769971893
12.600000000000044,0.2194817739342287
12.650000000000045,0.21447866461091492
12.700000000000045,0.20929789028627552
12.750000000000046,0.20408445617736717
12.800000000000047,0.1989587676060827
12.850000000000048,0.1939730442246139
12.900000000000048,0.1888570513226322
12.950000000000049,0.1840301959180421
13.00000000000005,0.1789618236183023
13.05000000000005,0.1739713237903961
13.100000000000051,0.16916103755243564
13.150000000000052,0.16423670322307427
13.200000000000053,0.15943163186447512
