t,v,u
0.0,0.0,0.0
0.05,0.10574162273084739,0.0
0.1,0.07629805406511299,0.0
0.15000000000000002,0.06288904151503179,0.0
0.2,0.05985392811464935,0.0
0.25,0.040524048584155425,0.0
0.3,0.04036898832460031,0.0
0.35,0.03893102964047268,0.0
0.39999999999999997,0.03728098024302549,0.0
0.44999999999999996,0.038566555485740464,0.0
0.49999999999999994,0.03878607684727688,0.0
0.5499999999999999,0.039334214700486037,0.0
0.6,0.04022814812709617,0.0
0.65,0.04089868939421006,0.0
0.7000000000000001,0.041674547723873134,0.0
0.7500000000000001,0.04250607840923262,0.0
0.8000000000000002,0.04333299360808912,0.0
0.8500000000000002,0.044129809826209385,0.0
0.9000000000000002,0.044915629137193526,0.0
0.9500000000000003,0.04572904552276472,0.0
1.0000000000000002,0.046543350817638746,0.0
1.0500000000000003,0.04736453797650349,0.0
1.1000000000000003,0.0481983671703206,0.0
1.1500000000000004,0.04903765629828796,0.0
1.2000000000000004,0.04987254752519461,0.0
1.2500000000000004,0.050690508702147634,0.0
1.3000000000000005,0.051510341102660076,0.0
1.3500000000000005,0.05233650293694754,0.0
1.4000000000000006,0.053173154071816685,0.0
1.4500000000000006,0.05402403157945122,0.0
1.5000000000000007,0.054875480235095274,0.0
1.5500000000000007,0.05574338425340747,0.0
1.6000000000000008,0.05662345080539484,0.0
1.6500000000000008,0.05751776013262952,0.0
1.7000000000000008,0.058405776744538326,0.0
1.7500000000000009,0.05929371890341301,0.0
1.800000000000001,0.06018471656979499,0.0
1.850000000000001,0.06108897090678633,0.0
1.900000000000001,0.06199853497554924,0.0
1.950000000000001,0.06291467392522955,0.0
2.000000000000001,0.06384584067914308,0.5
2.0500000000000007,0.06361622032643083,0.5
2.1000000000000005,0.08930066414311913,0.5
2.1500000000000004,0.11980873399885336,0.5
2.2,0.1415966187747082,0.5
2.25,0.1692966701794977,0.5
2.3,0.19748882282744099,0.5
2.3499999999999996,0.22305947756294842,0.5
2.3999999999999995,0.24945691738833475,0.5
2.4499999999999993,0.27508909138112037,0.5
2.499999999999999,0.300587745431826,0.5
2.549999999999999,0.3261455275354894,0.5
2.5999999999999988,0.35164689487234313,0.5
2.6499999999999986,0.3770269396590168,0.5
2.6999999999999984,0.40235409482302875,0.5
2.7499999999999982,0.42772140693442373,0.5
2.799999999999998,0.45301788716538816,0.5
2.849999999999998,0.4783649944757086,0.5
2.8999999999999977,0.50386246737407,0.5
2.9499999999999975,0.5290860658894143,0.5
2.9999999999999973,0.5544086625906617,0.5
3.049999999999997,0.5797896288525348,0.5
3.099999999999997,0.6050786672360464,0.5
3.149999999999997,0.6303877570276422,0.5
3.1999999999999966,0.6557121555133805,0.5
3.2499999999999964,0.6810131410386802,0.5
3.2999999999999963,0.7062501615071386,0.5
3.349999999999996,0.7315087165224876,0.5
3.399999999999996,0.7567641570920844,0.5
3.4499999999999957,0.7819878601848607,0.5
3.4999999999999956,0.8072179296412294,0.5
3.5499999999999954,0.8324443497718161,0.5
3.599999999999995,0.8576534265535205,0.5
3.649999999999995,0.882853908796024,0.5
3.699999999999995,0.9080273512421022,0.5
3.7499999999999947,0.9331870768680419,0.5
3.7999999999999945,0.9584352715802392,0.5
3.8499999999999943,0.9834555157314224,0.5
3.899999999999994,1.0084849228254864,0.5
3.949999999999994,1.033570932842476,0.5
3.999999999999994,1.058589448469947,0.5
4.049999999999994,1.083563789264328,0.5
