t,v,u,steer,qx,qy,qz,qw
0.05,0.10574162273084739,0.0,0.0,-0.7048981861042749,-0.00011680384955449008,-0.7093084804339754,-0.00011475281539065879
0.1,0.05919631548154877,0.0,0.0,-0.7010824392890403,-4.4702100114857376e-05,-0.7130802249213188,-6.4408173961248e-05
0.15000000000000002,0.06959798149262858,0.0,0.0,-0.7021601765876955,2.3846756974754026e-05,-0.7120190206861632,-5.1755065154263564e-06
0.2,0.0623421660314354,0.0,0.0,-0.7012847536104952,2.1051805871210823e-05,-0.7128812620833628,-8.984445985722354e-06
0.25,0.04998753566717662,0.0,0.0,-0.7011645660729564,1.5928178494010764e-05,-0.7129994747256083,-8.427498007575857e-06
0.3,0.05045651840028821,0.0,0.0,-0.7016105228804002,1.8671423410513893e-05,-0.7125606457136708,-3.87116805585127e-06
0.35,0.046411683554934954,0.0,0.0,-0.701466368444347,2.355569059346936e-05,-0.712702556039694,1.056393985246491e-06
0.39999999999999997,0.045047636024514684,0.0,0.0,-0.701548923864521,2.435537351533864e-05,-0.7126212927109699,-2.508928122641674e-06
0.44999999999999996,0.044093267660919234,0.6862745098039216,-0.17932402510686835,-0.7016318301661995,2.5428834872878066e-05,-0.7125396650252895,-4.08068960921604e-06
0.49999999999999994,0.04075408350900635,1.0,-0.3490658503988659,-0.6955705296477509,0.0005047410267590425,-0.7184572316316993,0.0007680092173867546
0.5499999999999999,0.07243494913301889,1.0,-0.3490658503988659,-0.6938465104504931,0.00010670482382404804,-0.7201160692326397,0.0031393283814857625
0.6,0.11400836551227489,1.0,-0.32168813664209206,-0.6944579893134424,-0.001995114385049239,-0.7195047442394462,0.006086346543752689
0.65,0.14918407319290458,1.0,0.0,-0.6929345576542582,-0.005088577661866226,-0.7209125714160465,0.010043383900891243
0.7000000000000001,0.17907773632326854,1.0,0.0,-0.6910785944856968,-0.008443391963784522,-0.7226415912714995,0.011323247785637465
0.7500000000000001,0.23592650308886376,1.0,0.0,-0.6929609730320855,-0.009872348595490516,-0.7208153413805319,0.01152693446245323
0.8000000000000002,0.28104950917075744,1.0,0.08350202695816009,-0.6917159208988014,-0.01039689089394264,-0.7219857952887145,0.012549933712378336
